Date,score,VIX,2w_score,3w_score,4w_score,3D_vix,5D_vix,8D_vix,10D_vix,15D_vix,20D_vix,Close,5_c_10,10_c_20,10_c_25,20_c_30,20_c_40,20_c_60,30_c_60,40_c_60,50_c_80,60_c_90,volume_score,3D_volume,5D_volume,8D_volume,10D_volume,15D_volume,20D_volume
2008-06-25,46.49367653,21.139999,49.74018583300001,50.76963396,50.6883200415,22.06666600000001,22.1299998,21.871249875,21.951999799999992,22.141999866666666,21.4484998,131.809998,0,0,0,0,0,0,0,1,1,1,0.4834006229368385,0.38807786397862065,0.4332998830871012,0.397180975343729,0.3988227295919746,0.4210639971920159,0.3919196403895653
2008-06-26,46.49367653,23.93,49.057622627000015,50.36912275333334,50.559350498499995,22.49666633333334,22.5999998,22.24374975,22.011999799999995,22.495333266666666,21.73799985,128.229996,0,0,0,0,0,0,0,1,1,1,0.503197594774977,0.4763286462414629,0.4307337855934351,0.4251028101199991,0.4077988627182344,0.42903351004295665,0.4042761906149204
2008-06-27,46.49367653,23.440001000000002,48.37505942100002,49.96861154666668,50.43038095549999,22.836666666666677,22.7139998,22.5325,22.233999999999995,22.4873334,22.018499900000002,127.529999,0,0,0,0,0,0,0,1,1,1,0.5144686449337843,0.5003556208818661,0.4363799663289269,0.452968074137824,0.4195114042458604,0.41827769610880394,0.4228399199189524
2008-06-30,46.49367653,23.950001,47.69249621500002,49.568100340000015,50.30141141249999,23.77333400000001,22.976000199999994,22.746250124999996,22.534,22.54266673333333,22.224499950000002,127.980003,0,0,0,0,0,0,0,0,1,1,0.4255102792161029,0.48105883964162094,0.4737929725748574,0.4512094917950443,0.43408014051098903,0.422345562660879,0.4305994624680448
2008-07-01,50.72939094,23.65,47.87630371900002,49.39543916333335,50.21281372799999,23.680000666666672,23.222000199999993,23.005000124999995,22.7860001,22.574000066666663,22.39499995,128.380005,0,0,0,0,0,0,0,0,1,1,0.6844774428341012,0.541485455661329,0.5222109169391628,0.4722656618688936,0.47337323151528066,0.43942482338183597,0.4422385019185162
2008-07-02,50.72939094,25.92,48.06011122300002,49.222777986666685,50.1242160435,24.506667000000004,24.178000399999995,23.386249999999997,23.154000099999998,22.694,22.651,126.18,0,0,0,0,0,0,0,0,1,1,0.48382106240083905,0.531269594817014,0.5222950048319628,0.4719635770119578,0.47779744395953055,0.4399801546719705,0.44637174910200084
2008-07-03,50.72939094,24.780001000000002,48.24391872700003,49.05011681000003,50.035618359,24.783333666666667,24.348000599999995,23.653750249999998,23.4740002,22.790666733333335,22.958500100000002,126.309998,0,0,0,0,0,0,0,0,1,1,0.3866189303916273,0.518305811875522,0.4989792719552929,0.49048528731260493,0.46485652877436257,0.4381923324639203,0.44651995052103893
2008-07-07,50.72939094,25.780001000000002,48.42772623100003,48.87745563333336,49.9470206745,25.493334000000004,24.816000599999995,24.073750374999996,23.765000200000003,23.09466686666667,23.0695002,125.019997,0,0,0,0,0,0,0,0,1,1,0.6521618709895373,0.5075339545940007,0.5265179171664436,0.5167070560597252,0.4814489417476837,0.4551802418860545,0.4453377513732121
2008-07-08,42.81719747,23.15,47.82031438800003,48.17731489200003,49.46281331650001,24.570000666666672,24.656000399999996,24.325000499999998,23.816000300000002,23.24133346666667,23.07100015,127.239998,0,0,0,0,0,0,0,0,1,1,0.6592385037144141,0.5660064350318591,0.5732635620661057,0.5386867911569222,0.5235282673204801,0.48047461436269434,0.460075062512184
2008-07-09,42.81719747,25.23,47.452666482000026,47.77237366333336,48.93770776050002,24.720000333333342,24.972000399999995,24.487500499999996,24.0970003,23.514666866666673,23.173500150000002,124.790001,0,0,0,0,0,0,0,0,1,1,0.5809288100405813,0.6307763949148438,0.5525538355074018,0.5484031930651228,0.5373823762232808,0.49976676617932075,0.4677070764132257
