Date,Close,TLT,alloc_momenutm,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,score,zscore,score_over_bought,zscore_over_bought,cftc_score_momentum_to_equity,VIX,Volume
5/29/2008,109.2440153,62.51758902,TRUE,322341,49.07306739,106.919235,FALSE,TRUE,TRUE,18.139999,173927200
5/30/2008,109.5171301,62.92884053,TRUE,322341,49.07306739,106.5954612,FALSE,TRUE,TRUE,17.83,117362000
6/2/2008,108.3856647,63.17045584,TRUE,322341,49.07306739,106.2739673,FALSE,TRUE,TRUE,19.83,181069900
6/3/2008,107.753612,63.62516691,FALSE,343184,52.50134463,156.3355475,FALSE,TRUE,FALSE,20.24,271965700
6/4/2008,107.6989962,63.05852335,TRUE,343184,52.50134463,155.8559139,FALSE,TRUE,TRUE,20.799999,246637700
6/5/2008,109.8526596,62.6807592,TRUE,343184,52.50134463,155.3797081,FALSE,TRUE,TRUE,18.629999,237867100
6/6/2008,106.3490437,63.49225375,FALSE,343184,52.50134463,154.9068918,FALSE,TRUE,FALSE,23.559999,384276300
6/9/2008,106.6065489,63.49225375,FALSE,343184,52.50134463,154.4374271,FALSE,TRUE,FALSE,23.120001,228263900
6/10/2008,106.0759408,63.07950936,FALSE,348157,53.31930859,166.041322,FALSE,TRUE,FALSE,23.18,260234900
6/11/2008,104.515312,62.93260197,FALSE,348157,53.31930859,165.5385151,FALSE,TRUE,FALSE,24.120001,283890100
6/12/2008,104.913268,62.30299505,FALSE,348157,53.31930859,165.0392576,FALSE,TRUE,FALSE,23.33,252791800
6/13/2008,106.2398001,62.17008189,TRUE,348157,53.31930859,164.5435103,FALSE,TRUE,TRUE,21.219999,244726900
6/16/2008,106.3022267,62.18407078,TRUE,348157,53.31930859,164.0512343,FALSE,TRUE,TRUE,20.950001,185832500
6/17/2008,105.7872283,62.30999217,FALSE,321236,48.8913159,97.94591278,FALSE,TRUE,FALSE,21.129999,191707700
6/18/2008,104.7572075,62.83466371,FALSE,321236,48.8913159,97.66467407,FALSE,TRUE,FALSE,22.24,265893000
6/19/2008,104.8898596,62.46319749,FALSE,321236,48.8913159,97.38531323,FALSE,TRUE,FALSE,21.58,304204900
6/20/2008,103.1960017,62.82766659,FALSE,321236,48.8913159,97.10781063,FALSE,TRUE,FALSE,22.870001,289275700
6/23/2008,103.094041,62.96058509,FALSE,321236,48.8913159,96.83214689,FALSE,TRUE,FALSE,22.639999,165096400
6/24/2008,102.8901317,63.37612619,FALSE,306659,46.49367653,60.86195021,FALSE,TRUE,FALSE,22.42,267300600
